NLab,Year,Densidad,Sexo,Edad,EdadClase,CondicionCorporal,ELISAInfluenza,ELISAPRRS,ELISAADV,ELISAPPV,ELISAPCV,ELISAPCV2,PCRMycoPul,PCRHaemoPul,PCRAPPPul,PCRPCVPul,Metastronguilus_Clas,Metastrongilus,Lesion_Pulm,Tipo,Duracion,Score,NL_TRQ,NIntersticial,Bronconeumonia,Pleuritis,Peribronquitis,Bronquitis,HiperNT2,Enfisema,Necrosis,Score_Micro,Tej_Conjuntivo,Granulomas,Granuloma_Pul,Tipo_Granuloma,Granuloma_NL,TB_Generalizada,TB
1775,2011-2012,24.0,Macho,1.5,NonAdult,0.060158175999999994,Negativo,Negativo,Positivo,Negativo,Positivo,Positivo,Positivo,Negativo,Negativo,Negativo,Positivo,1.0,No,,,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,Si,1,No,,Negativo
1793,2011-2012,,Hembra,,,4.206755093,Positivo,Positivo,Positivo,Positivo,Positivo,Positivo,Negativo,Negativo,Negativo,Negativo,Positivo,1.0,,,,,,,,,,,,,,,,,,,,,
2306,2011-2012,25.5,Macho,6.0,Adult,1.222215445,Positivo,Negativo,Positivo,Positivo,Positivo,Positivo,Positivo,Negativo,Negativo,Positivo,Positivo,1.0,No,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,No,,No,,Negativo
2309,2011-2012,25.5,Macho,5.0,Adult,11.23946214,Negativo,Negativo,Positivo,Positivo,Positivo,Positivo,Positivo,Negativo,Negativo,Positivo,Positivo,1.0,No,,,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,,0.0,0.0,No,,No,,Negativo
2316,2011-2012,25.0,Macho,0.7,NonAdult,18.18088505,Negativo,Negativo,Positivo,Negativo,Positivo,Positivo,Positivo,Negativo,Negativo,Negativo,Positivo,1.0,No,,,,2.0,3.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,,0.0,0.0,No,,No,,Negativo
2385,2011-2012,6.5,Hembra,1.0,NonAdult,-0.708797771,Negativo,Negativo,Negativo,Positivo,Positivo,Positivo,Positivo,Negativo,Negativo,Positivo,Positivo,1.0,,,,,,,,,,,,,,,,,,,,,
1808,2011-2012,,Hembra,2.5,Adult,-2.7432911630000003,,,,,,,Negativo,Negativo,Negativo,Negativo,Positivo,2.0,No,,,,1.0,2.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,No,,Si,Positivo,Positivo
2351,2011-2012,17.0,Hembra,3.0,Adult,-1.732881471,Positivo,Negativo,Negativo,Positivo,Negativo,Negativo,Positivo,Negativo,Negativo,Negativo,Positivo,2.0,SI,Lob,Cronica,5.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,0.0,No,,No,,Negativo
2331,2011-2012,25.0,Hembra,2.0,Adult,13.23946214,Positivo,Negativo,Positivo,Positivo,Positivo,Positivo,Positivo,Negativo,Negativo,Positivo,Positivo,2.0,Si,Nolob,Subaguda,16.0,2.0,0.0,0.0,0.0,6.0,4.0,0.0,2.0,0.0,,0.0,5.0,Si,1_4,Si,Generalizada,Positivo
1755,2011-2012,32.0,Hembra,3.0,Adult,8.077404872,Positivo,Negativo,Positivo,Positivo,Positivo,Positivo,Negativo,Negativo,Negativo,Negativo,Positivo,2.0,Si,NoLob,Subaguda,28.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,No,,Si,Positivo,Positivo
1748,2011-2012,32.0,Hembra,2.5,Adult,1.667056855,,,,,,,,,,,Positivo,3.0,,,,,,,,,,,,,,,,,,,,,
2276,2011-2012,13.0,Hembra,2.5,Adult,-27.52949381,Positivo,Negativo,Positivo,Positivo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Positivo,3.0,No,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,No,,No,,Negativo
2310,2011-2012,26.0,Macho,4.0,Adult,6.025664784,Negativo,Negativo,Positivo,Positivo,Positivo,Positivo,Negativo,Negativo,Negativo,Negativo,Positivo,3.0,No,,,,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,,0.0,0.0,No,,No,,Negativo
1774,2011-2012,24.0,Hembra,3.0,Adult,35.58082337,Negativo,Negativo,Positivo,Positivo,Positivo,Positivo,Positivo,Negativo,Negativo,Negativo,Positivo,3.0,No,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,,Si,Positivo,Positivo
1765,2011-2012,23.0,Macho,1.5,NonAdult,-3.1536391810000004,Positivo,Negativo,Negativo,Positivo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Positivo,4.0,Si,NoLob,Subaguda,1.0,1.0,0.0,0.0,0.0,4.0,3.0,0.0,3.0,0.0,7.0,0.0,0.0,No,,No,,Negativo
2366,2011-2012,23.0,Hembra,1.7,NonAdult,19.68430355,Negativo,Negativo,Positivo,Positivo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Positivo,4.0,No,,,,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,3.0,0.0,No,,No,,Negativo
2308,2011-2012,25.5,Macho,3.0,Adult,2.453259498,Negativo,Negativo,Positivo,Negativo,Positivo,Positivo,Negativo,Negativo,Negativo,Negativo,Positivo,4.0,Si,NoLob,Subaguda,12.0,1.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,,0.0,3.0,Si,3,Si,Generalizada,Positivo
2312,2011-2012,26.0,Macho,2.0,Adult,-15.92259513,Negativo,Negativo,Positivo,Positivo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Positivo,5.0,No,,,,0.0,,,,,,,,,,,,,,,,
2354,2011-2012,17.0,Macho,0.35,NonAdult,-14.5708242,Positivo,Negativo,Negativo,Negativo,Negativo,Negativo,Positivo,Negativo,Negativo,Negativo,Positivo,5.0,Si,Lob,Subaguda,4.0,2.0,,,,,,,,,,,,,,No,,Negativo
1762,2011-2012,23.0,Hembra,3.0,Adult,-4.384683234,Negativo,Negativo,Positivo,Positivo,Positivo,Positivo,,,,,Positivo,5.0,Si,Lob,Aguda,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,No,,No,,Negativo
