NLab,Year,Finca,Densidad,Sexo,Edad,EdadClase,CondicionCorporal,ELISAInfluenza,ELISAPRRS,ELISAADV,ELISAPPV,ELISAPCV,ELISAPCV2,PCRMycoPul,PCRHaemoPul,PCRAPPPul,PCRPCVPul,Metastronguilus_Clas,Metastrongilus,Lesion_Pulm,Tipo,Duracion,Score,NL_TRQ,NIntersticial,Bronconeumonia,Pleuritis,Peribronquitis,Bronquitis,HiperNT2,Enfisema,Necrosis,Score_Micro,Tej_Conjuntivo,Granulomas,Granuloma_Pul,Tipo_Granuloma,Granuloma_NL,TB_Generalizada,TB
2312,2011-2012,Campillo,26,Macho,2,Adult,-15.92259513,Negativo,Negativo,Positivo,Positivo,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Positivo,5,No,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2354,2011-2012,Valdecasillas,17,Macho,0.35,NonAdult,-14.5708242,Positivo,Negativo,Negativo,Negativo,Negativo,Negativo,Positivo,Negativo,Negativo,Negativo,Positivo,5,Si,Lob,Subaguda,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Negativo
1762,2011-2012,LasJaras,23,Hembra,3,Adult,-4.384683234,Negativo,Negativo,Positivo,Positivo,Positivo,Positivo,NA,NA,NA,NA,Positivo,5,Si,Lob,Aguda,2,0,0,0,2,0,0,0,0,0,2,0,0,No,NA,No,NA,Negativo
1764,2011-2012,LasJaras,23,Macho,4,Adult,-35.18813257,Positivo,Negativo,Positivo,Positivo,Positivo,Positivo,Negativo,Negativo,Negativo,Negativo,Positivo,5,Si,NoLob,Subaguda,12,0,0,0,0,4,0,0,0,0,4,0,0,No,NA,No,NA,Negativo
1804,2011-2012,CastilloVinuelas,NA,Macho,1.5,NonAdult,0.40151941,Negativo,Negativo,Negativo,Negativo,Negativo,Negativo,Positivo,Negativo,Negativo,Negativo,Positivo,6,No,NA,NA,NA,1,0,0,0,3,0,0,0,0,3,0,0,No,NA,Si,Positivo,Positivo
2297,2011-2012,PiedraSanta,13,Hembra,1.7,NonAdult,-5.529493806,Negativo,Negativo,Positivo,Positivo,Positivo,Positivo,Positivo,Negativo,Negativo,Positivo,Positivo,6,No,NA,NA,NA,0,3,0,0,3,0,0,0,0,NA,0,3,Si,2,No,Generalizada,Positivo
2403,2011-2012,LasJaras,23,Macho,1.9,NonAdult,-19.20537927,NA,NA,NA,NA,NA,NA,Positivo,Negativo,Negativo,Negativo,Positivo,7,No,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1778,2011-2012,Elcristo,24,Macho,NA,NA,NA,Negativo,Negativo,Positivo,Positivo,Positivo,Positivo,Negativo,Negativo,Negativo,Negativo,Positivo,7,Si,NoLob,Subaguda,16,2,4,3,1,6,0,0,1,3,17,0,6,Si,1_4,NA,Generalizada,Positivo
2278,2011-2012,PiedraSanta,13,Hembra,4,Adult,-5.170885877,Positivo,Negativo,Positivo,Positivo,Positivo,Positivo,Negativo,Negativo,Negativo,Negativo,Positivo,7,No,NA,NA,NA,0,0,0,0,2,0,0,0,0,NA,0,0,No,NA,No,NA,Negativo
2274,2011-2012,PiedraSanta,13,Hembra,2,Adult,-8.315696449,Negativo,Negativo,Positivo,Positivo,Positivo,Positivo,Negativo,Negativo,Negativo,Negativo,Positivo,8,No,NA,NA,NA,0,0,0,0,4,4,0,1,0,NA,0,0,No,NA,NA,NA,NA
