Nlab;Sexo;Edad;Mhyo;ADV;SIV;HPS;APP;PCV;PM;Metastrongylus;NIntersticial;Bronconeumonia;Peribronquitis;Bronquitis;Necrosis;TB
2365;Hembra;1.9;Negativo;;Negativo;Negativo;Negativo;Negativo;Negativo;0;0;3;6;3;0;Negativo
2366;Hembra;1.7;Negativo;;Negativo;Negativo;Negativo;Negativo;Negativo;4;0;1;2;2;0;Negativo
2386;Macho;1.5;Positivo;;Negativo;Negativo;Negativo;Positivo;Negativo;95;0;0;3;3;0;Positivo
2387;Macho;1;Negativo;;Negativo;Negativo;Negativo;Negativo;Negativo;2;1;0;2;2;0;Positivo
2390;Macho;2;Negativo;;Negativo;Negativo;Negativo;Negativo;Negativo;36;0;0;5;4;0;Positivo
2398;Hembra;4;Negativo;;Negativo;Negativo;Negativo;Negativo;Negativo;10;5;0;2;0;0;Negativo
2401;Macho;4;Negativo;;Negativo;Negativo;Negativo;Positivo;Negativo;84;0;0;2;4;0;Negativo
2402;Macho;3;Negativo;;Negativo;Negativo;Negativo;Positivo;Negativo;64;1;0;0;0;0;Negativo
2416;Macho;0.5;;;Negativo;Positivo;Negativo;Positivo;Negativo;NA;NA;NA;NA;NA;NA;
2417;Hembra;0.2;;;Negativo;Positivo;Positivo;Negativo;Negativo;NA;NA;NA;NA;NA;NA;
2418;Macho;2.5;Negativo;Negativo;Negativo;Positivo;Negativo;Negativo;Negativo;NA;0;1;4;0;0;
2420;Hembra;0.1;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;NA;1;0;0;0;0;
2422;Hembra;0.5;Positivo;Negativo;Positivo;Negativo;Negativo;Positivo;Negativo;NA;0;2;2;0;0;
2423;Macho;0.5;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;NA;3;0;2;2;0;
2428;Macho;0.2;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;NA;1;0;0;0;0;
2429;Hembra;0.2;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;NA;0;0;0;0;0;
2433;Macho;0.2;Positivo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;NA;0;2;2;1;0;
2434;Hembra;0.2;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;NA;0;0;0;0;0;
2435;Macho;0.2;Negativo;Negativo;Negativo;Positivo;Negativo;Negativo;Negativo;NA;2;5;0;0;0;
2444;Hembra;2;;;Negativo;Negativo;Negativo;Negativo;Negativo;NA;NA;NA;NA;NA;NA;
2470;Macho;5;Negativo;Negativo;Positivo;Negativo;Negativo;Negativo;Negativo;0;1;0;0;0;0;
2471;Hembra;0.5;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;0;0;0;1;1;0;
2472;Macho;6;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;0;0;0;0;0;0;
2473;Macho;2;Positivo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;0;0;0;6;3;0;
2474;Macho;1.8;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;NA;1;0;6;1;0;
2476;Macho;1.7;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;NA;0;0;1;0;0;
2497;Macho;4;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;0;0;0;0;0;0;
2498;Macho;5;Negativo;Positivo;Negativo;Negativo;Negativo;Negativo;Negativo;0;0;0;6;0;0;
2499;Macho;1.5;Negativo;Negativo;Negativo;Negativo;Negativo;Positivo;Negativo;NA;2;0;6;5;0;
2501;Macho;4;Positivo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;10;1;1;3;3;0;
2508;Macho;2;Positivo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;0;3;0;0;0;0;
2531;Hembra;2;Positivo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;0;0;0;0;0;0;
2554;Hembra;2.5;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;0;2;0;2;0;0;
2555;Macho;1.5;Negativo;Positivo;Negativo;Negativo;Negativo;Positivo;Negativo;0;3;0;0;0;0;
2556;Hembra;2.5;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;0;0;0;0;0;0;
2557;Macho;1.2;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;NA;0;0;0;0;0;
2558;Hembra;2;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;0;2;0;0;0;0;
2561;Hembra;3;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;0;0;0;3;0;0;
2563;Macho;1.5;Negativo;Negativo;Positivo;Negativo;Negativo;Negativo;Negativo;15;0;0;0;0;0;
2564;Hembra;2.5;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;0;1;0;0;0;0;
2566;Hembra;3;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;NA;0;0;1;0;0;
2567;Macho;2.5;Negativo;Positivo;Negativo;Negativo;Negativo;Negativo;Negativo;0;0;0;0;0;0;
2569;Macho;3;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;0;0;0;1;0;0;
2575;Hembra;2;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;0;1;0;3;3;0;
2582;Hembra;4;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;0;0;0;3;2;0;
2583;Hembra;2.5;Negativo;Negativo;Positivo;Negativo;Negativo;Negativo;Negativo;0;1;0;4;0;0;
2584;Hembra;3;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;0;0;0;0;0;0;
2585;Hembra;3;Positivo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;13;0;0;0;2;0;
2586;Hembra;2;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;41;0;0;1;0;0;
2587;Hembra;4;Positivo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;0;0;0;3;0;0;
2589;Hembra;0.8;Positivo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;0;0;3;4;0;0;
2590;Hembra;1.8;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;0;0;0;4;0;0;
2591;Hembra;NA;Negativo;Positivo;Negativo;Negativo;Negativo;Negativo;Negativo;NA;0;0;0;0;0;
2592;Macho;0.7;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;1;0;0;3;0;0;
2593;Macho;1.8;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;0;0;0;2;1;0;
2594;Hembra;4;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;0;3;0;1;0;0;
2595;Hembra;4;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;0;1;0;1;0;0;
2596;Hembra;1.5;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;15;1;0;2;0;0;
2597;Hembra;1.5;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;0;0;0;1;0;0;
2612;Hembra;0.25;NA;;Negativo;Negativo;Negativo;Negativo;Positivo;NA;0;0;4;0;0;
2613;Macho;1.8;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;8;4;1;1;1;0;
2614;Hembra;4;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;0;4;0;1;0;0;
2615;Hembra;4;Negativo;Positivo;Negativo;Negativo;Negativo;Negativo;Negativo;0;0;0;0;0;0;
2616;Hembra;4;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;0;3;0;1;0;0;
2617;Hembra;1.8;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;27;0;1;2;1;0;
2618;Macho;1;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;0;0;0;1;0;0;
2619;Hembra;2;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;0;0;0;0;4;0;
2620;Hembra;0.7;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;4;3;0;1;0;0;
2621;Hembra;1.8;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;1;4;0;1;0;0;
2622;Hembra;0.7;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;40;4;0;2;0;0;
2623;Hembra;3;Negativo;Negativo;Positivo;Negativo;Negativo;Negativo;Negativo;0;1;0;0;0;0;
2624;Hembra;2.5;Negativo;Negativo;Positivo;Negativo;Negativo;Negativo;Negativo;0;2;0;1;0;0;
2625;Hembra;4;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;NA;1;0;4;0;0;
2626;Hembra;3;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;Negativo;0;0;0;0;0;0;
2627;Hembra;2.2;Negativo;Negativo;Positivo;Negativo;Negativo;Negativo;Negativo;11;0;0;3;0;0;
2628;Macho;2;NA;;Negativo;Negativo;Negativo;Negativo;Negativo;0;0;3;4;0;0;
2632;Hembra;2.5;Negativo;Negativo;Negativo;Negativo;Positivo;Positivo;Negativo;1;3;0;0;0;0;
2647;Hembra;1;Negativo;Negativo;Positivo;Negativo;Negativo;Negativo;Negativo;1;2;0;1;1;0;
2648;Hembra;1;Positivo;Negativo;Negativo;Negativo;Negativo;Positivo;Negativo;0;4;0;3;0;0;
2649;Hembra;1;Positivo;Negativo;Negativo;Negativo;Negativo;Positivo;Negativo;0;0;4;4;0;0;
2650;Macho;0.7;Positivo;Negativo;Negativo;Negativo;Negativo;Positivo;Negativo;27;0;0;4;0;0;
